##Navigation @Navigation

Resize | <Alt-j> or <Alt-k>
Vertical Resize | <Alt-h> or <Alt-l>
Move to Left Window | <C-h>
Move to Down Window | <C-j>
Move to Up Window | <C-k>
Move to Right Window | <C-l>
Buffer Next | <F12> or gbn
Buffer Previous | <F11> or gbp

##Essentials @Essentials @Custom
Upper Case | Alt-U (Normal/Insert Mode)
Close buffer without closing Window | <leader>q

Shift Line Normal Mode | S-Up/Down or S-k/j
Shift Line Visual Mode | S-Up/Down or S-k/j
Shift Line Insert Mode | S-Up/Down

Dupe line Insert Mode | <C-d>
Dupe line Visual Mode | <C-d>
Dupe line Normal Mode | <Alt-d>

Void Delete(Visual/Normal) | <leader>d

Tagbar | <C-t>
NerdTree | <F2>
Startify | <C-m>

##Telescope @Telescope

Find Files | <leader>ff
Live Grep | <leader>fg
Buffers | <leader>fb
Help Tags | <leader>fh

##FZF @FZF

Files | <C-p>
Buffers | <leader>b
Commands | <leader>c
Maps | <leader>m
Maps/Mappings.vim | <leader>mm
BTags | <leader>T
Lines | <leader>l
Help Tags | <leader>?

##Trouble LSP @Trouble #LSP

TroubleToggle | <leader>xx
Workspace Diagnostics | <leader>xw
Doucment Diagnostics | <leader>xd
Loclist | <leader>xl
Quickfix | <leader>xq
LSP References | gR

##LSPSAGA @LSPSAGA @SAGA

Hover Docs | <Space>k
Smart Scroll Sage down | <C-n>
Smart Scroll Sage up | <C-p>
Signature Help | gs
Rename in Entire Files | gr
Preview Definition | gd

##FloatTerminal @Float @Terminal

Fterm | <leader>tt

##Highlight @Visual @Highlight @Notes

Highlight 2 | q (Visual Mode)
Remove Highlight | r (Visual Mode)
Custom Highlight Color | :HSHighlight n (Visual Mode and n is number from range 0 to 9)

##Paste Images Link @Notes @Images @Paste @Url
Paste Images as URL Path | <F1>

##Which-key @Key @WhichKey
Show all Mappings | :WhichKey
Show all <leader> | :WhichKey <leader>
Show all <leader> for Visual mode | :WhichKey <leader> v
Show all mappings for VISUAL Mode etc | :Whichkey "v"
